398,8,4307,0
38,1,3068,0
32,1,1589,0
255,3,1003,0
0,0,334,0
0,0,350,0
0,0,202,0
0,0,2075,0
0,0,3944,0
172,5,2754,0
0,0,4538,0
0,0,1492,0
165,2,3111,0
0,0,294,0
0,0,7039,0
0,0,3676,0
666,7,18,0
1295,10,378,0
30,1,936,0
0,0,3993,0
0,0,2783,0
516,7,2386,0
103,2,244,0
179,2,2035,0
144,3,799,0
0,0,5598,0
437,7,327,0
183,3,4052,0
107,2,2285,0
99,2,797,0
147,4,691,0
84,2,0,0
0,0,1770,0
259,4,10,0
578,3,582,0
0,0,198,0
0,0,38,0
0,0,266,0
245,4,1788,0
0,0,1541,0
122,2,988,0
53,1,2758,0
340,4,1862,0
0,0,4611,0
0,0,2817,0
0,0,1599,0
466,9,1615,0
78,2,3933,0
97,2,3505,0
0,0,2149,0
354,4,627,0
328,3,128,0
155,3,2059,0
90,1,1118,0
0,0,2105,0
0,0,811,0
69,2,3401,0
0,0,2217,0
0,0,3626,0
0,0,1173,0
0,0,75,0
0,0,5679,0
34,1,2060,0
0,0,1086,0
300,3,2087,0
54,1,445,0
0,0,658,0
0,0,3632,0
32,1,3331,0
0,0,134,0
0,0,6579,0
0,0,6317,0
0,0,5107,0
0,0,6310,0
0,0,3375,0
0,0,3123,0
0,0,312,0
0,0,467,0
0,0,3310,0
0,0,6330,0
0,0,2444,0
0,0,2412,0
0,0,2899,0
0,0,639,0
0,0,3988,0
145,1,1340,0
0,0,4489,0
0,0,5368,0
0,0,54,0
0,0,1412,0
0,0,1095,0
0,0,1277,0
0,0,470,0
0,0,928,0
0,0,1658,0
0,0,2799,0
104,3,3721,0
0,0,605,0
123,3,2624,0
31,1,2296,0
77,2,2168,0
0,0,1535,0
0,0,2608,0
0,0,186,0
0,0,1857,0
0,0,714,0
0,0,39,0
488,7,106,0
0,0,6381,0
0,0,3725,0
0,0,4235,0
0,0,5151,0
0,0,1314,0
0,0,423,0
32,1,3288,0
88,2,454,0
0,0,317,0
0,0,3093,0
0,0,3256,0
0,0,22,0
0,0,70,0
0,0,505,0
0,0,1210,0
0,0,2008,0
0,0,797,0
72,2,1198,0
0,0,1102,0
125,3,264,0
37,1,254,0
0,0,1222,0
0,0,1046,0
0,0,2619,0
0,0,2190,0
0,0,631,0
0,0,977,0
34,1,1149,0
0,0,1134,0
0,0,1536,0
233,4,1945,0
0,0,4574,0
0,0,4849,0
0,0,525,0
0,0,89,0
31,1,3470,0
0,0,1510,0
0,0,45,0
0,0,0,0
315,6,6289,0
0,0,2653,0
0,0,813,0
31,1,4728,1
0,0,1106,1
126,4,5038,1
166,3,3040,1
247,4,1612,1
37,1,5289,1
944,14,1805,1
0,0,1255,1
1646,12,4730,1
337,5,1426,1
275,5,4900,1
0,0,5116,1
387,7,2754,1
0,0,3455,1
0,0,2648,1
328,7,1312,1
213,4,720,1
0,0,2201,1
0,0,4958,1
0,0,3029,1
64,2,4396,1
48,1,3799,1
171,4,166,1
0,0,4105,1
132,2,1211,1
0,0,8,1
331,6,1253,1
101,1,290,1
112,3,3058,1
144,2,1453,1
0,0,2136,1
63,2,712,1
0,0,2341,1
0,0,1567,1
0,0,4494,1
0,0,4302,1
65,2,2978,1
0,0,4716,1
73,1,3100,1
0,0,3351,1
0,0,2848,1
0,0,5300,1
0,0,5110,1
0,0,3501,1
474,5,1369,1
203,1,4443,1
0,0,2295,1
0,0,10479,1
59,1,1368,1
0,0,120,1
224,4,5379,1
266,3,5540,1
0,0,7867,1
33,1,721,1
605,9,2071,1
130,3,1297,1
38,1,3876,1
64,1,7643,1
0,0,1989,1
0,0,929,1
0,0,2997,1
239,3,740,1
118,3,2658,1
0,0,52,1
0,0,1067,1
41,1,1115,1
0,0,366,1
55,1,1263,1
34,1,871,1
505,4,760,1
0,0,2968,1
85,2,74,1
567,5,285,1
173,3,1942,1
132,2,4191,1
0,0,1365,1
0,0,164,1
0,0,7530,1
101,2,0,1
0,0,2450,1
165,3,676,1
47,1,2073,1
73,2,1244,1
0,0,1717,1
91,2,4587,1
627,8,1275,1
148,4,2160,1
0,0,5979,1
